Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
London,Rome,1,1,18:15,1/3/2025,21:40,6:00,2/3/2025,7:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,714,28/02/2025,Momondo,145,165
London,Rome,1,1,21:00,1/3/2025,0:30,6:35,2/3/2025,8:20,LGW,FCO,FCO,LGW,Wizz Air,Wizz Air,nonstop,,,nonstop,,,0,0,655,28/02/2025,Momondo,150,165
London,Rome,1,1,18:20,1/3/2025,21:55,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,18:20,1/3/2025,21:55,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,8:10,1/3/2025,11:35,6:00,2/3/2025,7:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,729,28/02/2025,Momondo,145,165
London,Rome,1,1,20:15,1/3/2025,23:50,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,20:15,1/3/2025,23:50,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,15:00,1/3/2025,18:25,6:00,2/3/2025,7:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,729,28/02/2025,Momondo,145,165
London,Rome,1,1,10:00,1/3/2025,13:25,6:00,2/3/2025,7:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,747,28/02/2025,Momondo,145,165
London,Rome,1,1,18:15,1/3/2025,21:40,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,784,28/02/2025,Momondo,145,165
London,Rome,1,1,6:00,1/3/2025,9:25,6:00,2/3/2025,7:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,145,165
London,Rome,1,1,8:10,1/3/2025,11:35,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,799,28/02/2025,Momondo,145,165
London,Rome,1,1,15:00,1/3/2025,18:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,799,28/02/2025,Momondo,145,165
London,Rome,1,1,10:00,1/3/2025,13:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,818,28/02/2025,Momondo,145,165
London,Rome,1,1,6:00,1/3/2025,9:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,145,165
London,Rome,1,1,16:05,1/3/2025,19:40,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1069,28/02/2025,Momondo,155,180
London,Rome,1,1,15:00,1/3/2025,18:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,799,28/02/2025,Momondo,145,165
London,Rome,1,1,10:00,1/3/2025,13:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,818,28/02/2025,Momondo,145,165
London,Rome,1,1,18:20,1/3/2025,21:55,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,18:20,1/3/2025,21:55,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,20:15,1/3/2025,23:50,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,20:15,1/3/2025,23:50,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,892,28/02/2025,Momondo,155,180
London,Rome,1,1,6:00,1/3/2025,9:25,10:00,2/3/2025,11:45,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,145,165
London,Rome,1,1,15:25,1/3/2025,18:55,6:35,2/3/2025,8:20,LGW,FCO,FCO,LGW,easyJet,Wizz Air,nonstop,,,nonstop,,,0,0,892,28/02/2025,Momondo,150,165
London,Rome,1,1,15:25,1/3/2025,18:55,6:00,2/3/2025,7:45,LGW,FCO,CIA,STN,easyJet,Ryanair,nonstop,,,nonstop,,,0,0,906,28/02/2025,Momondo,150,165
London,Rome,1,1,21:00,1/3/2025,0:30,6:35,2/3/2025,8:20,LGW,FCO,FCO,LGW,Wizz Air,Wizz Air,nonstop,,,nonstop,,,0,0,655,28/02/2025,Momondo,150,165
London,Rome,1,1,20:50,1/3/2025,0:10,19:50,2/3/2025,21:35,LGW,FCO,CIA,STN,Vueling,Ryanair,nonstop,,,nonstop,,,0,0,921,28/02/2025,Momondo,140,165
London,Rome,1,1,9:20,1/3/2025,12:50,6:35,2/3/2025,8:20,LGW,FCO,FCO,LGW,Vueling,Wizz Air,nonstop,,,nonstop,,,0,0,932,28/02/2025,Momondo,150,165
London,Rome,1,1,21:00,1/3/2025,0:30,6:00,2/3/2025,7:45,LGW,FCO,CIA,STN,Wizz Air,Ryanair,nonstop,,,nonstop,,,0,0,696,28/02/2025,Momondo,150,165
London,Rome,1,1,18:15,1/3/2025,21:40,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,962,28/02/2025,Momondo,145,165
London,Rome,1,1,8:10,1/3/2025,11:35,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,977,28/02/2025,Momondo,145,165
London,Rome,1,1,18:15,1/3/2025,21:40,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,962,28/02/2025,Momondo,145,165
London,Rome,1,1,8:10,1/3/2025,11:35,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,977,28/02/2025,Momondo,145,165
London,Rome,1,1,6:55,1/3/2025,10:30,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1036,28/02/2025,Momondo,155,180
London,Rome,1,1,6:55,1/3/2025,10:30,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1036,28/02/2025,Momondo,155,180
London,Rome,1,1,15:00,1/3/2025,18:25,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,977,28/02/2025,Momondo,145,165
London,Rome,1,1,8:50,1/3/2025,12:25,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1058,28/02/2025,Momondo,155,180
London,Rome,1,1,8:50,1/3/2025,12:25,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1058,28/02/2025,Momondo,155,180
London,Rome,1,1,10:00,1/3/2025,13:25,19:50,2/3/2025,21:35,STN,CIA,CIA,STN,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,995,28/02/2025,Momondo,145,165
London,Rome,1,1,16:05,1/3/2025,19:40,7:55,2/3/2025,9:55,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1069,28/02/2025,Momondo,155,180
London,Rome,1,1,16:05,1/3/2025,19:40,7:50,2/3/2025,9:50,LHR,FCO,FCO,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,1069,28/02/2025,Momondo,155,180
London,Rome,1,1,21:00,1/3/2025,0:30,10:00,2/3/2025,11:45,LGW,FCO,CIA,STN,Wizz Air,Ryanair,nonstop,,,nonstop,,,0,0,770,28/02/2025,Momondo,150,165
London,Rome,1,1,20:50,1/3/2025,0:10,6:45,2/3/2025,8:35,LGW,FCO,FCO,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1018,28/02/2025,Momondo,140,170
