Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
London,Paris,1,1,12:00,1/3/2025,14:15,9:05,2/3/2025,9:15,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,725,28/02/2025,Momondo,75,70
London,Paris,1,1,12:45,1/3/2025,15:05,7:00,2/3/2025,7:20,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,699,28/02/2025,Momondo,80,80
London,Paris,1,1,12:45,1/3/2025,15:05,7:00,2/3/2025,7:10,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,714,28/02/2025,Momondo,80,70
London,Paris,1,1,12:00,1/3/2025,14:15,10:55,2/3/2025,11:05,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,755,28/02/2025,Momondo,75,70
London,Paris,1,1,12:45,1/3/2025,15:05,9:05,2/3/2025,9:15,LGW,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,681,28/02/2025,Momondo,80,70
London,Paris,1,1,12:00,1/3/2025,14:15,7:00,2/3/2025,7:10,LGW,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,773,28/02/2025,Momondo,75,70
London,Paris,1,1,12:45,1/3/2025,15:05,13:30,2/3/2025,13:40,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,736,28/02/2025,Momondo,80,70
London,Paris,1,1,8:15,1/3/2025,10:35,9:05,2/3/2025,9:15,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,751,28/02/2025,Momondo,80,70
London,Paris,1,1,12:45,1/3/2025,15:05,10:55,2/3/2025,11:05,LGW,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,710,28/02/2025,Momondo,80,70
London,Paris,1,1,12:00,1/3/2025,14:15,13:30,2/3/2025,13:40,LGW,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,755,28/02/2025,Momondo,75,70
London,Paris,1,1,16:10,1/3/2025,18:25,7:00,2/3/2025,7:10,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,792,28/02/2025,Momondo,75,70
London,Paris,1,1,20:15,1/3/2025,22:30,7:00,2/3/2025,7:10,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,792,28/02/2025,Momondo,75,70
London,Paris,1,1,16:10,1/3/2025,18:25,9:05,2/3/2025,9:15,LGW,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,803,28/02/2025,Momondo,75,70
London,Paris,1,1,16:30,1/3/2025,18:50,9:05,2/3/2025,9:15,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,766,28/02/2025,Momondo,80,70
London,Paris,1,1,20:15,1/3/2025,22:30,9:05,2/3/2025,9:15,LGW,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,803,28/02/2025,Momondo,75,70
London,Paris,1,1,8:15,1/3/2025,10:35,10:55,2/3/2025,11:05,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,80,70
London,Paris,1,1,8:15,1/3/2025,10:35,10:55,2/3/2025,11:05,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,80,70
London,Paris,1,1,11:15,1/3/2025,13:35,7:00,2/3/2025,7:10,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,777,28/02/2025,Momondo,80,70
London,Paris,1,1,11:15,1/3/2025,13:35,7:00,2/3/2025,7:20,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,703,28/02/2025,Momondo,80,80
London,Paris,1,1,16:10,1/3/2025,18:25,13:30,2/3/2025,13:40,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,814,28/02/2025,Momondo,75,70
London,Paris,1,1,20:15,1/3/2025,22:30,13:30,2/3/2025,13:40,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,814,28/02/2025,Momondo,75,70
London,Paris,1,1,14:00,1/3/2025,16:20,7:00,2/3/2025,7:10,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,80,70
London,Paris,1,1,14:00,1/3/2025,16:20,7:00,2/3/2025,7:20,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,710,28/02/2025,Momondo,80,80
London,Paris,1,1,8:15,1/3/2025,10:35,7:00,2/3/2025,7:10,LGW,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,792,28/02/2025,Momondo,80,70
London,Paris,1,1,7:05,1/3/2025,9:25,9:05,2/3/2025,9:15,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,788,28/02/2025,Momondo,80,70
London,Paris,1,1,12:45,1/3/2025,15:05,9:55,2/3/2025,10:15,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,718,28/02/2025,Momondo,80,80
London,Paris,1,1,16:30,1/3/2025,18:50,10:55,2/3/2025,11:05,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,796,28/02/2025,Momondo,80,70
London,Paris,1,1,15:15,1/3/2025,17:45,7:00,2/3/2025,7:10,LHR,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,718,28/02/2025,Momondo,90,70
London,Paris,1,1,11:15,1/3/2025,13:35,9:05,2/3/2025,9:15,LTN,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,796,28/02/2025,Momondo,80,70
London,Paris,1,1,11:15,1/3/2025,13:35,13:30,2/3/2025,13:40,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,796,28/02/2025,Momondo,80,70
London,Paris,1,1,7:00,1/3/2025,9:20,7:00,2/3/2025,7:10,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,799,28/02/2025,Momondo,80,70
London,Paris,1,1,11:15,1/3/2025,13:35,9:55,2/3/2025,10:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,725,28/02/2025,Momondo,80,80
London,Paris,1,1,15:15,1/3/2025,17:45,9:05,2/3/2025,9:15,LHR,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,725,28/02/2025,Momondo,90,70
London,Paris,1,1,7:00,1/3/2025,9:20,7:00,2/3/2025,7:20,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,733,28/02/2025,Momondo,80,80
London,Paris,1,1,12:00,1/3/2025,14:15,7:00,2/3/2025,7:20,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,770,28/02/2025,Momondo,75,80
London,Paris,1,1,12:45,1/3/2025,15:05,14:10,2/3/2025,14:25,LGW,ORY,ORY,LHR,Vueling,Vueling,nonstop,,,nonstop,,,0,0,770,28/02/2025,Momondo,80,75
London,Paris,1,1,14:00,1/3/2025,16:20,9:05,2/3/2025,9:15,LTN,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,807,28/02/2025,Momondo,80,70
London,Paris,1,1,8:15,1/3/2025,10:35,13:30,2/3/2025,13:40,LGW,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,814,28/02/2025,Momondo,80,70
London,Paris,1,1,14:00,1/3/2025,16:20,9:55,2/3/2025,10:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,736,28/02/2025,Momondo,80,80
London,Paris,1,1,7:05,1/3/2025,9:25,10:55,2/3/2025,11:05,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,818,28/02/2025,Momondo,80,70
London,Paris,1,1,15:15,1/3/2025,17:45,13:30,2/3/2025,13:40,LHR,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,740,28/02/2025,Momondo,90,70
London,Paris,1,1,16:10,1/3/2025,18:25,7:00,2/3/2025,7:20,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,75,80
London,Paris,1,1,7:00,1/3/2025,9:20,13:30,2/3/2025,13:40,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,821,28/02/2025,Momondo,80,70
London,Paris,1,1,20:00,1/3/2025,22:25,15:10,2/3/2025,15:35,LHR,CDG,CDG,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,747,28/02/2025,Momondo,85,85
London,Paris,1,1,20:00,1/3/2025,22:25,7:05,2/3/2025,7:30,LHR,CDG,CDG,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,747,28/02/2025,Momondo,85,85
London,Paris,1,1,20:15,1/3/2025,22:30,7:00,2/3/2025,7:20,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,75,80
London,Paris,1,1,7:00,1/3/2025,9:20,13:30,2/3/2025,13:40,LTN,CDG,ORY,LGW,easyJet,Vueling,nonstop,,,nonstop,,,0,0,821,28/02/2025,Momondo,80,70
London,Paris,1,1,12:00,1/3/2025,14:15,14:00,2/3/2025,14:15,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,825,28/02/2025,Momondo,75,75
London,Paris,1,1,20:00,1/3/2025,22:25,15:10,2/3/2025,15:35,LHR,CDG,CDG,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,747,28/02/2025,Momondo,85,85
London,Paris,1,1,20:00,1/3/2025,22:25,7:05,2/3/2025,7:30,LHR,CDG,CDG,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,747,28/02/2025,Momondo,85,85
London,Paris,1,1,20:15,1/3/2025,22:30,7:00,2/3/2025,7:20,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,75,80
London,Paris,1,1,7:00,1/3/2025,9:20,10:55,2/3/2025,11:05,LTN,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,829,28/02/2025,Momondo,80,70
London,Paris,1,1,12:00,1/3/2025,14:15,14:10,2/3/2025,14:25,LGW,CDG,ORY,LHR,easyJet,Vueling,nonstop,,,nonstop,,,0,0,829,28/02/2025,Momondo,75,75
London,Paris,1,1,7:00,1/3/2025,9:20,9:55,2/3/2025,10:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,755,28/02/2025,Momondo,80,80
London,Paris,1,1,15:15,1/3/2025,17:45,10:55,2/3/2025,11:05,LHR,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,755,28/02/2025,Momondo,90,70
London,Paris,1,1,12:45,1/3/2025,15:05,19:05,2/3/2025,19:10,LGW,ORY,ORY,LGW,Vueling,Vueling,nonstop,,,nonstop,,,0,0,870,28/02/2025,Momondo,80,65
London,Paris,1,1,8:15,1/3/2025,10:35,7:00,2/3/2025,7:20,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,766,28/02/2025,Momondo,80,80
London,Paris,1,1,12:45,1/3/2025,15:05,14:00,2/3/2025,14:15,LGW,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,799,28/02/2025,Momondo,80,75
London,Paris,1,1,16:10,1/3/2025,18:25,14:10,2/3/2025,14:25,LGW,ORY,ORY,LHR,Vueling,Vueling,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,75,75
London,Paris,1,1,15:15,1/3/2025,17:45,7:00,2/3/2025,7:20,LHR,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,699,28/02/2025,Momondo,90,80
London,Paris,1,1,11:15,1/3/2025,13:35,14:00,2/3/2025,14:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,818,28/02/2025,Momondo,80,75
London,Paris,1,1,20:00,1/3/2025,22:25,10:00,2/3/2025,10:30,LHR,CDG,CDG,LHR,British Airways,British Airways,nonstop,,,nonstop,,,1,0,747,28/02/2025,Momondo,85,90
London,Paris,1,1,16:30,1/3/2025,18:50,7:00,2/3/2025,7:20,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,781,28/02/2025,Momondo,80,80
London,Paris,1,1,11:15,1/3/2025,13:35,14:00,2/3/2025,14:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,818,28/02/2025,Momondo,80,75
London,Paris,1,1,8:15,1/3/2025,10:35,9:55,2/3/2025,10:15,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,788,28/02/2025,Momondo,80,80
London,Paris,1,1,16:10,1/3/2025,18:25,14:10,2/3/2025,14:25,LGW,ORY,ORY,LHR,Vueling,Vueling,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,75,75
London,Paris,1,1,20:15,1/3/2025,22:30,14:10,2/3/2025,14:25,LGW,ORY,ORY,LHR,Vueling,Vueling,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,75,75
London,Paris,1,1,15:15,1/3/2025,17:45,9:55,2/3/2025,10:15,LHR,ORY,CDG,LTN,Vueling,easyJet,nonstop,,,nonstop,,,0,0,722,28/02/2025,Momondo,90,80
London,Paris,1,1,14:00,1/3/2025,16:20,14:00,2/3/2025,14:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,829,28/02/2025,Momondo,80,75
London,Paris,1,1,11:15,1/3/2025,13:35,14:10,2/3/2025,14:25,LTN,CDG,ORY,LHR,easyJet,Vueling,nonstop,,,nonstop,,,0,0,832,28/02/2025,Momondo,80,75
London,Paris,1,1,7:05,1/3/2025,9:25,7:00,2/3/2025,7:20,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,803,28/02/2025,Momondo,80,80
London,Paris,1,1,16:30,1/3/2025,18:50,9:55,2/3/2025,10:15,LGW,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,803,28/02/2025,Momondo,80,80
London,Paris,1,1,15:15,1/3/2025,17:45,14:10,2/3/2025,14:25,LHR,ORY,ORY,LHR,Vueling,Vueling,nonstop,,,nonstop,,,0,0,773,28/02/2025,Momondo,90,75
London,Paris,1,1,14:00,1/3/2025,16:20,14:10,2/3/2025,14:25,LTN,CDG,ORY,LHR,easyJet,Vueling,nonstop,,,nonstop,,,0,0,844,28/02/2025,Momondo,80,75
London,Paris,1,1,7:00,1/3/2025,9:20,14:00,2/3/2025,14:15,LTN,CDG,CDG,LTN,easyJet,easyJet,nonstop,,,nonstop,,,0,0,847,28/02/2025,Momondo,80,75
London,Paris,1,1,8:15,1/3/2025,10:35,14:10,2/3/2025,14:25,LGW,CDG,ORY,LHR,easyJet,Vueling,nonstop,,,nonstop,,,0,0,851,28/02/2025,Momondo,80,75
London,Paris,1,1,14:00,1/3/2025,16:20,15:35,2/3/2025,15:45,LTN,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,962,28/02/2025,Momondo,80,70
London,Paris,1,1,17:35,1/3/2025,19:55,7:35,2/3/2025,8:00,LHR,CDG,CDG,LHR,Air France,Air France,nonstop,,,nonstop,,,1,0,825,28/02/2025,Momondo,80,85
London,Paris,1,1,16:10,1/3/2025,18:25,15:35,2/3/2025,15:45,LGW,ORY,CDG,LGW,Vueling,easyJet,nonstop,,,nonstop,,,0,0,1006,28/02/2025,Momondo,75,70
London,Paris,1,1,20:00,1/3/2025,22:25,7:00,2/3/2025,7:10,LHR,CDG,ORY,LGW,British Airways,British Airways,nonstop,,,nonstop,,,0,0,1021,28/02/2025,Momondo,85,70
London,Paris,1,1,8:15,1/3/2025,10:35,15:35,2/3/2025,15:45,LGW,CDG,CDG,LGW,easyJet,easyJet,nonstop,,,nonstop,,,0,0,966,28/02/2025,Momondo,80,70
