Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Paris,Rome,1,1,15:45,1/3/2025,17:50,10:05,2/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1332,28/02/2025,Momondo,125,135
Paris,Rome,1,1,7:40,1/3/2025,9:45,19:55,2/3/2025,11:40,ORY,FCO,FCO,ORY,Transavia France,Transavia France,nonstop,,,1 stop,760,MPL,1,0,1247,28/02/2025,Momondo,125,945
Paris,Rome,1,1,15:45,1/3/2025,17:50,6:00,2/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1332,28/02/2025,Momondo,125,135
Paris,Rome,1,1,6:55,1/3/2025,9:00,10:05,2/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1332,28/02/2025,Momondo,125,135
Paris,Rome,1,1,6:55,1/3/2025,9:00,6:00,2/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1332,28/02/2025,Momondo,125,135
Paris,Rome,1,1,13:45,1/3/2025,15:50,6:00,2/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1365,28/02/2025,Momondo,125,135
Paris,Rome,1,1,13:45,1/3/2025,15:50,10:05,2/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1365,28/02/2025,Momondo,125,135
Paris,Rome,1,1,20:40,1/3/2025,22:45,6:00,2/3/2025,8:15,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1369,28/02/2025,Momondo,125,135
Paris,Rome,1,1,20:40,1/3/2025,22:45,10:05,2/3/2025,12:20,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1369,28/02/2025,Momondo,125,135
Paris,Rome,1,1,15:45,1/3/2025,17:50,12:50,2/3/2025,15:00,CDG,FCO,FCO,CDG,Air France,Air France,nonstop,,,nonstop,,,1,0,1391,28/02/2025,Momondo,125,130
