Origin,Destination,TTT,LOS,Departure Time,Departure Date,Arrival Time,Return Departure Time,Return Date,Return Arrival Time,Onward Departure Airport,Onward Arrival Airport,Return Departure Airport,Return Arrival Airport,Onward Airlines,Return Airlines,Onward Flight Connections,Onward Connection Duration(min),Onward Flight Connection Airport,Return Flight Connections,Return Connection Duration(min),Return Flight Connection Airport,Carry-ons,Checked Bags,Price(NIS),Snapshot Time,Site,Total Onward Flight Duration(min),Total Return Flight Duration(min)
Rome,Paris,1,1,8:55,1/3/2025,11:10,6:10,2/3/2025,8:20,FCO,BVA,BVA,FCO,Ryanair,Ryanair,nonstop,,,nonstop,,,1,0,1195,28/02/2025,Momondo,135,130
Rome,Paris,1,1,7:00,1/3/2025,9:15,7:25,2/3/2025,9:30,FCO,ORY,ORY,FCO,Vueling,Transavia France,nonstop,,,nonstop,,,0,0,1066,28/02/2025,Momondo,135,125
Rome,Paris,1,1,13:30,1/3/2025,20:55,7:25,2/3/2025,9:30,FCO,BVA,ORY,FCO,"ITA Airways, Ryanair",Transavia France,1 stop,220,BRI,nonstop,,,0,0,1006,28/02/2025,Momondo,445,125
Rome,Paris,1,1,20:10,1/3/2025,22:25,7:25,2/3/2025,9:30,FCO,ORY,ORY,FCO,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,1136,28/02/2025,Momondo,135,125
Rome,Paris,1,1,7:00,1/3/2025,9:15,21:45,2/3/2025,23:40,FCO,ORY,ORY,FCO,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1251,28/02/2025,Momondo,135,115
Rome,Paris,1,1,7:00,1/3/2025,9:15,15:00,2/3/2025,16:55,FCO,ORY,ORY,FCO,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1251,28/02/2025,Momondo,135,115
Rome,Paris,1,1,7:00,1/3/2025,9:15,17:00,2/3/2025,18:55,FCO,ORY,ORY,FCO,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1251,28/02/2025,Momondo,135,115
Rome,Paris,1,1,7:00,1/3/2025,9:15,13:25,2/3/2025,15:20,FCO,ORY,ORY,FCO,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1251,28/02/2025,Momondo,135,115
Rome,Paris,1,1,8:55,1/3/2025,11:10,6:10,2/3/2025,8:20,FCO,BVA,BVA,FCO,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,1195,28/02/2025,Momondo,135,130
Rome,Paris,1,1,7:00,1/3/2025,9:15,16:00,2/3/2025,18:05,FCO,ORY,ORY,FCO,Vueling,Wizz Air,nonstop,,,nonstop,,,0,0,1214,28/02/2025,Momondo,135,125
Rome,Paris,1,1,14:40,1/3/2025,16:55,6:10,2/3/2025,8:20,FCO,BVA,BVA,FCO,Ryanair,Ryanair,nonstop,,,nonstop,,,0,0,1195,28/02/2025,Momondo,135,130
Rome,Paris,1,1,7:00,1/3/2025,9:15,6:40,2/3/2025,8:40,FCO,ORY,ORY,FCO,Vueling,Vueling,nonstop,,,nonstop,,,0,0,1251,28/02/2025,Momondo,135,120
Rome,Paris,1,1,12:50,1/3/2025,15:00,20:40,2/3/2025,22:45,FCO,CDG,CDG,FCO,Air France,Air France,nonstop,,,nonstop,,,1,0,1280,28/02/2025,Momondo,130,125
Rome,Paris,1,1,20:10,1/3/2025,22:25,13:25,2/3/2025,15:20,FCO,ORY,ORY,FCO,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1332,28/02/2025,Momondo,135,115
Rome,Paris,1,1,12:50,1/3/2025,15:00,6:55,2/3/2025,9:00,FCO,CDG,CDG,FCO,Air France,Air France,nonstop,,,nonstop,,,1,0,1280,28/02/2025,Momondo,130,125
Rome,Paris,1,1,20:10,1/3/2025,22:25,17:00,2/3/2025,18:55,FCO,ORY,ORY,FCO,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1332,28/02/2025,Momondo,135,115
Rome,Paris,1,1,20:10,1/3/2025,22:25,15:00,2/3/2025,16:55,FCO,ORY,ORY,FCO,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1332,28/02/2025,Momondo,135,115
Rome,Paris,1,1,20:10,1/3/2025,22:25,16:00,2/3/2025,18:05,FCO,ORY,ORY,FCO,Transavia France,Wizz Air,nonstop,,,nonstop,,,0,0,1288,28/02/2025,Momondo,135,125
Rome,Paris,1,1,20:10,1/3/2025,22:25,21:45,2/3/2025,23:40,FCO,ORY,ORY,FCO,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1332,28/02/2025,Momondo,135,115
Rome,Paris,1,1,12:50,1/3/2025,15:00,15:20,2/3/2025,17:25,FCO,CDG,CDG,FCO,Air France,Air France,nonstop,,,nonstop,,,1,0,1325,28/02/2025,Momondo,130,125
Rome,Paris,1,1,20:10,1/3/2025,22:25,6:40,2/3/2025,8:40,FCO,ORY,ORY,FCO,Transavia France,Vueling,nonstop,,,nonstop,,,0,0,1332,28/02/2025,Momondo,135,120
Rome,Paris,1,1,20:10,1/3/2025,22:25,16:30,2/3/2025,18:35,FCO,ORY,ORY,FCO,Transavia France,Transavia France,nonstop,,,nonstop,,,1,0,1399,28/02/2025,Momondo,135,125
